doi,title,year,container,authors,URL,source
10.1016/j.apenergy.2021.118041,Machine-learning-based model predictive control with instantaneous linearization – A case study on an air-conditioning and mechanical ventilation system,2022,Applied Energy,Shiyu Yang; Man Pun Wan,https://doi.org/10.1016/j.apenergy.2021.118041,crossref
10.1016/j.apenergy.2024.123969,Economic model predictive control for building HVAC system: A comparative analysis of model-based and data-driven approaches using the BOPTEST Framework,2024,Applied Energy,Wanfu Zheng; Dan Wang; Zhe Wang,https://doi.org/10.1016/j.apenergy.2024.123969,crossref
10.1016/j.applthermaleng.2021.117920,Numerical study on atomization and evaporation characteristics of preheated kerosene jet in a rotating detonation scramjet combustor,2022,Applied Thermal Engineering,Jiasen Wang; Wei Lin; Weidong Huang; Qiang Shi; Jiafeng Zhao,https://doi.org/10.1016/j.applthermaleng.2021.117920,crossref
10.1016/j.asoc.2025.112890,Comparative analysis of deep learning algorithms for predicting construction project delays in Saudi Arabia,2025,Applied Soft Computing,Saleh Alsulamy,https://doi.org/10.1016/j.asoc.2025.112890,crossref
10.1016/j.autcon.2011.12.008,Efficiency analysis of Set-based Design with structural building information modeling (S-BIM) on high-rise building structures,2012,Automation in Construction,Seung-Il Lee; Jun-Seo Bae; Young Sang Cho,https://doi.org/10.1016/j.autcon.2011.12.008,crossref
10.1016/j.autcon.2017.12.006,Civil Integrated Management: Empirical study of digital practices in highway project delivery and asset management,2018,Automation in Construction,Bharathwaj Sankaran; Guillermo Nevett; William J. O'Brien; Paul M. Goodrum; Joshua Johnson,https://doi.org/10.1016/j.autcon.2017.12.006,crossref
10.1016/j.autcon.2018.02.014,Lighted-weighted model predictive control for hybrid ventilation operation based on clusters of neural network models,2018,Automation in Construction,Jianli Chen; Godfried Augenbroe; Xinyi Song,https://doi.org/10.1016/j.autcon.2018.02.014,crossref
10.1016/j.autcon.2018.12.013,A scientometric analysis and critical review of construction related ontology research,2019,Automation in Construction,Botao Zhong; Haitao Wu; Heng Li; Samad Sepasgozar; Hanbin Luo; Ling He,https://doi.org/10.1016/j.autcon.2018.12.013,crossref
10.1016/j.autcon.2020.103152,Integrating three-dimensional road design and pavement structure analysis based on BIM,2020,Automation in Construction,Fanlong Tang; Tao Ma; Junhui Zhang; Yongsheng Guan; Lifeng Chen,https://doi.org/10.1016/j.autcon.2020.103152,crossref
10.1016/j.autcon.2021.103608,A transformer-based deep learning model for recognizing communication-oriented entities from patents of ICT in construction,2021,Automation in Construction,Hengqin Wu; Geoffrey Qiping Shen; Xue Lin; Minglei Li; Clyde Zhengdao Li,https://doi.org/10.1016/j.autcon.2021.103608,crossref
10.1016/j.autcon.2023.105200,Text mining and natural language processing in construction,2024,Automation in Construction,Alireza Shamshiri; Kyeong Rok Ryu; June Young Park,https://doi.org/10.1016/j.autcon.2023.105200,crossref
10.1016/j.bir.2020.12.007,The necessity of financial inclusion for enhancing the economic impacts of remittances,2022,Borsa Istanbul Review,Anh Tu Chuc; Weiqing Li; Nguyet Thi Minh Phi; Quoc Tuan Le; Naoyuki Yoshino; Farhad Taghizadeh-Hesary,https://doi.org/10.1016/j.bir.2020.12.007,crossref
10.1016/j.buildenv.2011.04.024,"Compromises between form and function in grid-connected, building-integrated photovoltaics (BIPV) at low-latitude sites",2011,Building and Environment,Jair Urbanetz; Clarissa Debiazi Zomer; Ricardo Rüther,https://doi.org/10.1016/j.buildenv.2011.04.024,crossref
10.1016/j.cities.2018.01.015,China's hybrid global city region pathway: Evidence from the Yangtze River Delta,2018,Cities,Yao Cheng; Richard LeGates,https://doi.org/10.1016/j.cities.2018.01.015,crossref
10.1016/j.compind.2025.104251,Automated construction contract analysis for risk and responsibility assessment using natural language processing and machine learning,2025,Computers in Industry,Irem Dikmen; Gorkem Eken; Huseyin Erol; M. Talat Birgonul,https://doi.org/10.1016/j.compind.2025.104251,crossref
10.1016/j.eap.2020.08.003,Determinants of international remittance inflow in Asia-Pacific middle-income countries,2020,Economic Analysis and Policy,Naoyuki Yoshino; Farhad Taghizadeh-Hesary; Miyu Otsuka,https://doi.org/10.1016/j.eap.2020.08.003,crossref
10.1016/j.econmod.2016.11.012,"Green versus brown: Comparing the employment impacts of energy efficiency, renewable energy, and fossil fuels using an input-output model",2017,Economic Modelling,Heidi Garrett-Peltier,https://doi.org/10.1016/j.econmod.2016.11.012,crossref
10.1016/j.econmod.2020.02.008,"ICT diffusion, financial development, and economic growth: An international cross-country analysis",2021,Economic Modelling,Chih-Yang Cheng; Mei-Se Chien; Chien-Chiang Lee,https://doi.org/10.1016/j.econmod.2020.02.008,crossref
10.1016/j.econmod.2021.105553,Do aspirations reduce differences in wealth accumulation?,2021,Economic Modelling,Jordi Caballé; Ana I. Moro-Egido,https://doi.org/10.1016/j.econmod.2021.105553,crossref
10.1016/j.ecosys.2024.101249,The critical role of the health-care sector in promoting employment for women and migrants in the EU. A multicountry input-output analysis,2025,Economic Systems,Izaskun Barba; Belén Iraizoz,https://doi.org/10.1016/j.ecosys.2024.101249,crossref
10.1016/j.egyr.2015.01.003,The impact of CO2 emissions and economic growth on energy consumption in 58 countries,2015,Energy Reports,Kais Saidi; Sami Hammami,https://doi.org/10.1016/j.egyr.2015.01.003,crossref
10.1016/j.enbuild.2018.05.044,Assessing the energy saving potential of an existing high-rise office building stock,2018,Energy and Buildings,Tatiana Alves; Luiz Machado; Roberta Gonçalves de Souza; Pieter de Wilde,https://doi.org/10.1016/j.enbuild.2018.05.044,crossref
10.1016/j.enbuild.2020.110059,Energy benchmarking for office building towers in mild temperate climate,2020,Energy and Buildings,Ana Carolina de Oliveira Veloso; Roberta Vieira Gonçalves de Souza; Felipe Nunes dos Santos,https://doi.org/10.1016/j.enbuild.2020.110059,crossref
10.1016/j.eneco.2009.04.003,Estimating the impact of extreme events on crude oil price: An EMD-based event analysis method,2009,Energy Economics,Xun Zhang; Lean Yu; Shouyang Wang; Kin Keung Lai,https://doi.org/10.1016/j.eneco.2009.04.003,crossref
10.1016/j.eneco.2009.12.005,Global economic activity and crude oil prices: A cointegration analysis,2010,Energy Economics,Yanan He; Shouyang Wang; Kin Keung Lai,https://doi.org/10.1016/j.eneco.2009.12.005,crossref
10.1016/j.eneco.2011.06.005,"Greenhouse gas emissions, energy consumption and economic growth: A panel cointegration analysis from Canadian industrial sector perspective",2012,Energy Economics,Mahamat Hamit-Haggar,https://doi.org/10.1016/j.eneco.2011.06.005,crossref
10.1016/j.eneco.2015.01.003,The impact of renewable energy consumption to economic growth: A panel data application,2016,Energy Economics,Roula Inglesi-Lotz,https://doi.org/10.1016/j.eneco.2015.01.003,crossref
10.1016/j.eneco.2018.03.015,Characterising green employment: The impacts of ‘greening’ on workforce composition,2018,Energy Economics,Alex Bowen; Karlygash Kuralbayeva; Eileen L. Tipoe,https://doi.org/10.1016/j.eneco.2018.03.015,crossref
10.1016/j.eneco.2018.07.004,The dynamics pattern of price dispersion in retail fuel markets,2018,Energy Economics,Jacint Balaguer; Jordi Ripollés,https://doi.org/10.1016/j.eneco.2018.07.004,crossref
10.1016/j.eneco.2020.104809,Transportation infrastructure and efficient energy services: A perspective of China's manufacturing industry,2020,Energy Economics,Boqiang Lin; Yu Chen,https://doi.org/10.1016/j.eneco.2020.104809,crossref
10.1016/j.eneco.2020.104973,Impact of transportation infrastructure on industrial pollution in Chinese cities: A spatial econometric analysis,2020,Energy Economics,Guobin Huang; Jie Zhang; Jian Yu; Xunpeng Shi,https://doi.org/10.1016/j.eneco.2020.104973,crossref
10.1016/j.eneco.2021.105474,Terrorist attacks and energy firms' crash risk in stock markets: Evidence from China,2021,Energy Economics,Dongmin Kong; Mengxu Xiong; Junyi Xiang,https://doi.org/10.1016/j.eneco.2021.105474,crossref
10.1016/j.eneco.2021.105576,What is the role of telecommunications infrastructure construction in green technology innovation? A firm-level analysis for China,2021,Energy Economics,Chang Tang; Yuanyuan Xu; Yu Hao; Haitao Wu; Yan Xue,https://doi.org/10.1016/j.eneco.2021.105576,crossref
10.1016/j.eneco.2021.105624,Long-term macroeconomic effects of climate change: A cross-country analysis,2021,Energy Economics,Matthew E. Kahn; Kamiar Mohaddes; Ryan N.C. Ng; M. Hashem Pesaran; Mehdi Raissi; Jui-Chung Yang,https://doi.org/10.1016/j.eneco.2021.105624,crossref
10.1016/j.eneco.2023.106559,Does monetary policy impact CO2 emissions? A GVAR analysis,2023,Energy Economics,Luccas Assis Attílio; João Ricardo Faria; Mauro Rodrigues,https://doi.org/10.1016/j.eneco.2023.106559,crossref
10.1016/j.energy.2009.07.008,A comparative analysis for multiattribute selection among renewable energy alternatives using fuzzy axiomatic design and fuzzy analytic hierarchy process,2009,Energy,Cengiz Kahraman; İhsan Kaya; Selcuk Cebi,https://doi.org/10.1016/j.energy.2009.07.008,crossref
10.1016/j.energy.2011.02.033,Economic impacts and challenges of China’s petroleum industry: An input–output analysis,2011,Energy,Tang Xu; Zhang Baosheng; Feng Lianyong; Marwan Masri; Afshin Honarvar,https://doi.org/10.1016/j.energy.2011.02.033,crossref
10.1016/j.enpol.2008.12.022,Economic impact of solar thermal electricity deployment in Spain,2009,Energy Policy,N. Caldés; M. Varela; M. Santamaría; R. Sáez,https://doi.org/10.1016/j.enpol.2008.12.022,crossref
10.1016/j.enpol.2009.10.044,Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US?,2010,Energy Policy,Max Wei; Shana Patadia; Daniel M. Kammen,https://doi.org/10.1016/j.enpol.2009.10.044,crossref
10.1016/j.enpol.2010.01.053,Economic analysis of different supporting policies for the production of electrical energy by solar photovoltaics in western European Union countries,2010,Energy Policy,Luigi Dusonchet; Enrico Telaretti,https://doi.org/10.1016/j.enpol.2010.01.053,crossref
10.1016/j.enpol.2010.03.025,Economic analysis of different supporting policies for the production of electrical energy by solar photovoltaics in eastern European Union countries,2010,Energy Policy,Luigi Dusonchet; Enrico Telaretti,https://doi.org/10.1016/j.enpol.2010.03.025,crossref
10.1016/j.enpol.2010.03.029,Economic impacts from the promotion of renewable energy technologies: The German experience,2010,Energy Policy,Manuel Frondel; Nolan Ritter; Christoph M. Schmidt; Colin Vance,https://doi.org/10.1016/j.enpol.2010.03.029,crossref
10.1016/j.enpol.2012.01.045,Comparative economic analysis of supporting policies for residential solar PV in the United States: Solar Renewable Energy Credit (SREC) potential,2012,Energy Policy,John Edward Burns; Jin-Su Kang,https://doi.org/10.1016/j.enpol.2012.01.045,crossref
10.1016/j.enpol.2012.04.074,"Influence of local environmental, social, economic and political variables on the spatial distribution of residential solar PV arrays across the United States",2012,Energy Policy,Calvin Lee Kwan,https://doi.org/10.1016/j.enpol.2012.04.074,crossref
10.1016/j.enpol.2012.04.076,Green jobs? Economic impacts of renewable energy in Germany,2012,Energy Policy,Ulrike Lehr; Christian Lutz; Dietmar Edler,https://doi.org/10.1016/j.enpol.2012.04.076,crossref
10.1016/j.enpol.2013.01.047,The impact of clean energy investments on the Greek economy: An input–output analysis (2010–2020),2013,Energy Policy,M. Markaki; A. Belegri-Roboli; P. Michaelides; S. Mirasgedis; D.P. Lalas,https://doi.org/10.1016/j.enpol.2013.01.047,crossref
10.1016/j.enpol.2015.06.013,Evaluating the market splitting determinants: evidence from the Iberian spot electricity prices,2015,Energy Policy,Nuno Carvalho Figueiredo; Patrícia Pereira da Silva; Pedro A. Cerqueira,https://doi.org/10.1016/j.enpol.2015.06.013,crossref
10.1016/j.enpol.2016.06.035,A retrospective analysis of benefits and impacts of U.S. renewable portfolio standards,2016,Energy Policy,Galen Barbose; Ryan Wiser; Jenny Heeter; Trieu Mai; Lori Bird; Mark Bolinger; Alberta Carpenter; Garvin Heath; David Keyser; Jordan Macknick; Andrew Mills; Dev Millstein,https://doi.org/10.1016/j.enpol.2016.06.035,crossref
10.1016/j.enpol.2018.08.052,Invisible energy policies: A new agenda for energy demand reduction,2018,Energy Policy,Sarah Royston; Jan Selby; Elizabeth Shove,https://doi.org/10.1016/j.enpol.2018.08.052,crossref
10.1016/j.enpol.2019.111056,China's global power: Estimating Chinese foreign direct investment in the electric power sector,2020,Energy Policy,Zhongshu Li; Kevin P. Gallagher; Denise L. Mauzerall,https://doi.org/10.1016/j.enpol.2019.111056,crossref
10.1016/j.enpol.2019.111124,DER integration through a monopoly DER aggregator,2020,Energy Policy,Nikos D. Hatziargyriou; Georgia E. Asimakopoulou,https://doi.org/10.1016/j.enpol.2019.111124,crossref
10.1016/j.enpol.2020.111425,"Energy investment, economic growth and carbon emissions in China—Empirical analysis based on spatial Durbin model",2020,Energy Policy,Jinying Li; Sisi Li,https://doi.org/10.1016/j.enpol.2020.111425,crossref
10.1016/j.enpol.2020.112031,Green jobs and energy efficiency as strategies for economic growth and the reduction of environmental impacts,2021,Energy Policy,Federico Dell’Anna,https://doi.org/10.1016/j.enpol.2020.112031,crossref
10.1016/j.enpol.2022.113004,European green policy announcements and sectoral stock returns,2022,Energy Policy,S. Borghesi; M. Castellini; N. Comincioli; M. Donadelli; I. Gufler; S. Vergalli,https://doi.org/10.1016/j.enpol.2022.113004,crossref
10.1016/j.enpol.2023.113922,A meta-analysis of the total economic impact of climate change,2024,Energy Policy,Richard S.J. Tol,https://doi.org/10.1016/j.enpol.2023.113922,crossref
10.1016/j.est.2023.107534,Comparative sustainability assessment of energy storage technologies in Qatar,2023,Journal of Energy Storage,Babkir Ali,https://doi.org/10.1016/j.est.2023.107534,crossref
10.1016/j.eswa.2016.02.025,A variational mode decompoisition approach for analysis and forecasting of economic and financial time series,2016,Expert Systems with Applications,Salim Lahmiri,https://doi.org/10.1016/j.eswa.2016.02.025,crossref
10.1016/j.exis.2024.101436,Economic impacts of the coal extraction sector on the South Korean national economy: An input-output analysis,2024,The Extractive Industries and Society,Jae-Ho Lee; Min-Ki Hyun; Seung-Hoon Yoo,https://doi.org/10.1016/j.exis.2024.101436,crossref
10.1016/j.gloenvcha.2015.06.004,Long-term economic growth projections in the Shared Socioeconomic Pathways,2017,Global Environmental Change,Rob Dellink; Jean Chateau; Elisa Lanzi; Bertrand Magné,https://doi.org/10.1016/j.gloenvcha.2015.06.004,crossref
10.1016/j.healthplace.2015.02.005,Living in an urban environment and non-communicable disease risk in Thailand: Does timing matter?,2015,Health &amp; Place,Chaisiri Angkurawaranon; Chawin Lerssrimonkol; Nalinee Jakkaew; Torranong Philalai; Pat Doyle; Dorothea Nitsch,https://doi.org/10.1016/j.healthplace.2015.02.005,crossref
10.1016/j.iimb.2018.01.001,Information communication technology (ICT) infrastructure and economic growth: A causality evinced by cross-country panel data,2018,IIMB Management Review,Rudra P. Pradhan; Girijasankar Mallik; Tapan P. Bagchi,https://doi.org/10.1016/j.iimb.2018.01.001,crossref
10.1016/j.ijpe.2020.107982,Large-scale automotive battery cell manufacturing: Analyzing strategic and operational effects on manufacturing costs,2021,International Journal of Production Economics,Fabian Duffner; Lukas Mauler; Marc Wentker; Jens Leker; Martin Winter,https://doi.org/10.1016/j.ijpe.2020.107982,crossref
10.1016/j.ijproman.2016.08.007,Estimating a project's earned and final duration,2016,International Journal of Project Management,Roger D.H. Warburton; Denis F. Cioffi,https://doi.org/10.1016/j.ijproman.2016.08.007,crossref
10.1016/j.ijproman.2016.10.004,Discovering complexity and emergent properties in project systems: A new approach to understanding project performance,2017,International Journal of Project Management,Jin Zhu; Ali Mostafavi,https://doi.org/10.1016/j.ijproman.2016.10.004,crossref
10.1016/j.ijproman.2016.10.008,Crafting an efficient bundle of property rights to determine the suitability of a Public‐Private Partnership: A new theoretical framework,2017,International Journal of Project Management,Pauline Teo; Adrian J. Bridge,https://doi.org/10.1016/j.ijproman.2016.10.008,crossref
10.1016/j.ijproman.2017.02.004,An empirical investigation into different stakeholder groups perception of project success,2017,International Journal of Project Management,Kate Davis,https://doi.org/10.1016/j.ijproman.2017.02.004,crossref
10.1016/j.ijproman.2018.12.002,How do project management competencies change within the project management career model in large Chinese construction companies?,2019,International Journal of Project Management,Tao Chen; Meiqing Fu; Rui Liu; Xuanhua Xu; Shenbei Zhou; Bingsheng Liu,https://doi.org/10.1016/j.ijproman.2018.12.002,crossref
10.1016/j.ipm.2009.03.002,A systematic analysis of performance measures for classification tasks,2009,Information Processing &amp; Management,Marina Sokolova; Guy Lapalme,https://doi.org/10.1016/j.ipm.2009.03.002,crossref
10.1016/j.jclepro.2018.08.114,Rethinking packaging production and consumption vis-à-vis circular economy: A case study of compostable cassava starch-based material,2018,Journal of Cleaner Production,Fabricio Casarejos; Claudio R. Bastos; Carlos Rufin; Mauricio N. Frota,https://doi.org/10.1016/j.jclepro.2018.08.114,crossref
10.1016/j.jclepro.2019.05.138,Multistage decision support framework for sites selection of solar power plants with probabilistic linguistic information,2019,Journal of Cleaner Production,Fei Xiao; Jian-qiang Wang,https://doi.org/10.1016/j.jclepro.2019.05.138,crossref
10.1016/j.jclepro.2019.117624,Uranium(Ⅵ) adsorption from aqueous solutions by microorganism-graphene oxide composites via an immobilization approach,2019,Journal of Cleaner Production,Changsong Zhao; Jun Liu; Yinhua Deng; Yuanyuan Tian; Guojian Zhang; Jiali Liao; Jijun Yang; Yuanyou Yang; Ning Liu; Qun Sun,https://doi.org/10.1016/j.jclepro.2019.117624,crossref
10.1016/j.jclepro.2020.122461,Effects of dairy cow breed and dietary forage on greenhouse gas emissions from manure during storage and after field application,2020,Journal of Cleaner Production,M.E. Uddin; R.A. Larson; M.A. Wattiaux,https://doi.org/10.1016/j.jclepro.2020.122461,crossref
10.1016/j.jclepro.2021.126712,How to design emission trading scheme to promote corporate low-carbon technological innovation: Evidence from China,2021,Journal of Cleaner Production,Shuai Gao; Can Wang,https://doi.org/10.1016/j.jclepro.2021.126712,crossref
10.1016/j.jdeveco.2020.102442,On the road: Access to transportation infrastructure and economic growth in China,2020,Journal of Development Economics,Abhijit Banerjee; Esther Duflo; Nancy Qian,https://doi.org/10.1016/j.jdeveco.2020.102442,crossref
10.1016/j.jeem.2016.12.001,Economic impacts of climate change on agriculture: The importance of additional climatic variables other than temperature and precipitation,2017,Journal of Environmental Economics and Management,Peng Zhang; Junjie Zhang; Minpeng Chen,https://doi.org/10.1016/j.jeem.2016.12.001,crossref
10.1016/j.jeem.2018.03.009,A Forward-Looking Ricardian Approach: Do land markets capitalize climate change forecasts?,2018,Journal of Environmental Economics and Management,Christopher Severen; Christopher Costello; Olivier Deschênes,https://doi.org/10.1016/j.jeem.2018.03.009,crossref
10.1016/j.jeem.2020.102360,The impact of climate conditions on economic production. Evidence from a global panel of regions,2020,Journal of Environmental Economics and Management,Matthias Kalkuhl; Leonie Wenz,https://doi.org/10.1016/j.jeem.2020.102360,crossref
10.1016/j.jenvman.2023.117500,Does forest farm carbon sink projects affect agricultural development? Evidence from a Quasi-experiment in China,2023,Journal of Environmental Management,Jian Liu; Yanjun Ren; Yu Hong; Thomas Glauben,https://doi.org/10.1016/j.jenvman.2023.117500,crossref
10.1016/j.jfineco.2017.05.011,The impacts of political uncertainty on asset prices: Evidence from the Bo scandal in China,2017,Journal of Financial Economics,Laura Xiaolei Liu; Haibing Shu; K.C. John Wei,https://doi.org/10.1016/j.jfineco.2017.05.011,crossref
10.1016/j.jik.2025.100711,Artificial intelligence in risk management within the realm of construction projects: A bibliometric analysis and systematic literature review,2025,Journal of Innovation &amp; Knowledge,Kun Tian; Zicheng Zhu; Jasper Mbachu; Amir Ghanbaripour; Matthew Moorhead,https://doi.org/10.1016/j.jik.2025.100711,crossref
10.1016/j.jmoneco.2020.12.004,Double overreaction in beauty contests with information acquisition: Theory and experiment,2021,Journal of Monetary Economics,Romain Baeriswyl; Kene Boun My; Camille Cornand,https://doi.org/10.1016/j.jmoneco.2020.12.004,crossref
10.1016/j.jobe.2022.104102,Machine learning-aided engineering services' cost overruns prediction in high-rise residential building projects: Application of random forest regression,2022,Journal of Building Engineering,Shahab Shoar; Nicholas Chileshe; John David Edwards,https://doi.org/10.1016/j.jobe.2022.104102,crossref
10.1016/j.joule.2020.11.013,The Value of Inter-Regional Coordination and Transmission in Decarbonizing the US Electricity System,2021,Joule,Patrick R. Brown; Audun Botterud,https://doi.org/10.1016/j.joule.2020.11.013,crossref
10.1016/j.jpubeco.2004.06.009,Political turnover and economic performance: the incentive role of personnel control in China,2005,Journal of Public Economics,Hongbin Li; Li-An Zhou,https://doi.org/10.1016/j.jpubeco.2004.06.009,crossref
10.1016/j.jpubeco.2021.104500,The welfare effects of extending unemployment benefits: Evidence from re-employment and unemployment transfers,2021,Journal of Public Economics,Po-Chun Huang; Tzu-Ting Yang,https://doi.org/10.1016/j.jpubeco.2021.104500,crossref
10.1016/j.jtrangeo.2003.12.004,The transport geography of logistics and freight distribution,2004,Journal of Transport Geography,Markus Hesse; Jean-Paul Rodrigue,https://doi.org/10.1016/j.jtrangeo.2003.12.004,crossref
10.1016/j.jtrangeo.2008.03.001,Moving places: the geography of warehousing in the US,2008,Journal of Transport Geography,John T. Bowen,https://doi.org/10.1016/j.jtrangeo.2008.03.001,crossref
10.1016/j.jtrangeo.2012.05.001,Atlanta: a mega logistics center in the Piedmont Atlantic Megaregion (PAM),2012,Journal of Transport Geography,Laetitia Dablanc; Catherine Ross,https://doi.org/10.1016/j.jtrangeo.2012.05.001,crossref
10.1016/j.jtrangeo.2017.07.005,Monitoring transit-served areas with smartcard data: A Brisbane case study,2019,Journal of Transport Geography,Jiangping Zhou; Neil Sipe; Zhenliang Ma; Derlie Mateo-Babiano; Sébastien Darchen,https://doi.org/10.1016/j.jtrangeo.2017.07.005,crossref
10.1016/j.jtrangeo.2017.08.003,Impact of high-speed rail on regional economic disparity in China,2017,Journal of Transport Geography,Zhenhua Chen; Kingsley E. Haynes,https://doi.org/10.1016/j.jtrangeo.2017.08.003,crossref
10.1016/j.jtrangeo.2018.04.015,"Bikeability – Urban structures supporting cycling. Effects of local, urban and regional scale urban form factors on cycling from home and workplace locations in Denmark",2018,Journal of Transport Geography,Thomas Alexander Sick Nielsen; Hans Skov-Petersen,https://doi.org/10.1016/j.jtrangeo.2018.04.015,crossref
10.1016/j.jtrangeo.2018.05.014,Spatial restructuring and uneven intra-urban employment growth in metro- and non-metro-served areas in Copenhagen,2018,Journal of Transport Geography,Kristian Bothe; Høgni Kalsø Hansen; Lars Winther,https://doi.org/10.1016/j.jtrangeo.2018.05.014,crossref
10.1016/j.jtrangeo.2018.08.005,Book review,2018,Journal of Transport Geography,Corinne Mulley,https://doi.org/10.1016/j.jtrangeo.2018.08.005,crossref
10.1016/j.jtrangeo.2020.102668,Book review,2020,Journal of Transport Geography,Thiago Guimarães,https://doi.org/10.1016/j.jtrangeo.2020.102668,crossref
10.1016/j.jtrangeo.2020.102846,Slowly coming out of COVID-19 restrictions in Australia: Implications for working from home and commuting trips by car and public transport,2020,Journal of Transport Geography,Matthew J. Beck; David A. Hensher; Edward Wei,https://doi.org/10.1016/j.jtrangeo.2020.102846,crossref
10.1016/j.jtrangeo.2021.103064,"Exploring the link between built environment and walking choice in São Paulo city, Brazil",2021,Journal of Transport Geography,Carlos Eduardo Teixeira Neves; Alan Ricardo da Silva; Fabiana Serra de Arruda,https://doi.org/10.1016/j.jtrangeo.2021.103064,crossref
