table_row_id,evidence_id,domain,asset_or_comparator,phase,metric_family,verified_value,metric_definition,direct_vs_total,projected_vs_realised,geography,source,source_page_or_location,review_decision,evidence_role,manuscript_use,caveat_summary,source_url,source_raw_path,spotcheck_required
t1_011,ev_0025,Data centre,data_centre,operation,operational_jobs_fte,23000,"National estimate of permanent data center jobs (FWW 2024, using BLS + VEDP adjusted)",direct,realised (2024 estimate),United States (national),Artificial Jobs: The Illusion of Big Tech's Data Center Employment Claims (dc_food_water_watch_2026),1.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: direct | Basis: realised (2024 estimate) | Reviewed from context_quote only; cross-check original PDF for full context and any caveats.,https://www.foodandwaterwatch.org/wp-content/uploads/2026/01/RB_2601_DataCenterJobs.pdf,submission_00/source_pdfs/Food_Water_Watch_2026_Artificial_Jobs.pdf,True
t1_012,ev_0027,Data centre,data_centre,unspecified,jobs_per_mw,1.12,"Jobs added in data center sector (NAICS 518210) per MW capacity added (Dominion IRP + BLS, VA 2023-24)",direct sector jobs,realised (recent capacity additions),"Virginia, US",Artificial Jobs: The Illusion of Big Tech's Data Center Employment Claims (dc_food_water_watch_2026),3.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: direct sector jobs | Basis: realised (recent capacity additions) | Low jobs/MW from sector employment growth vs capacity hookups. Critical perspective on employment claims.,https://www.foodandwaterwatch.org/wp-content/uploads/2026/01/RB_2601_DataCenterJobs.pdf,submission_00/source_pdfs/Food_Water_Watch_2026_Artificial_Jobs.pdf,True
t1_013,ev_0029,Data centre,data_centre,construction,construction_duration,18–24,Construction phase duration for typical large data center,,typical (modelled),United States (various states; specific projects noted in quote),Data centers: Jobs and opportunities in communities nationwide (dc_pham_2017),10.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Basis: typical (modelled) | Reviewed from context_quote only; cross-check original PDF for full context and any caveats.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2998644,submission_00/source_pdfs/Pham_2017_Data_Centers_Jobs_Opportunities.pdf,True
t1_014,ev_0047,Data centre,data_centre,operation,investment_scale,500–1000 million USD,Typical hyperscale data center construction cost range,,typical,United States (various states; specific projects noted in quote),The local economic effects of data center entry (dc_yue_zeng_2026),5.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Basis: typical | Reviewed from context_quote only; cross-check original PDF for full context and any caveats.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6497238,submission_00/source_pdfs/Yue_Zeng_2026_Local_Economic_Effects_Data_Center.pdf,True
t1_015,ev_0048,Data centre,data_centre,construction,construction_duration,18–36,Construction duration for hyperscale facilities (extensive on-site work for trades),,typical (observed),United States (various states; specific projects noted in quote),The local economic effects of data center entry (dc_yue_zeng_2026),6.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Basis: typical (observed) | Reviewed from context_quote only; cross-check original PDF for full context and any caveats.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6497238,submission_00/source_pdfs/Yue_Zeng_2026_Local_Economic_Effects_Data_Center.pdf,True
t1_016,ev_0051,Data centre,data_centre,construction,construction_duration,18,construction duration months (from source archival or industry report),,observed / typical (project or policy context),United States (various states; specific projects noted in quote),When do we go from here? Data center infrastructure labor jobs and work in economic development time and temporality (dc_mayer_2023),9.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Basis: observed / typical (project or policy context) | Academic labour study; 18 months construction in Groningen example (international workers). Temporal aspects of DC infrastructure jobs.,https://journals.sagepub.com/doi/10.1177/14614448231166874,submission_00/source_pdfs/Mayer_2023_Data_Center_Infrastructure_Labor_Jobs.pdf,True
t1_017,ev_0053,Data centre,data_centre,construction,causal_local_economy_effect,22,"% growth in information sector employment (IT services, telecom, software) in colocation counties with data centers",total local (sector-specific),realised (causal inference),United States (colocation / entry counties),New evidence on data center employment effects (dc_bahar_wright_brookings_2026),,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: total local (sector-specific) | Basis: realised (causal inference) | New evidence paper; construction +11%, info sector +22%. Supports short-term construction stimulus + longer info sector growth.",https://www.brookings.edu/articles/new-evidence-on-data-center-employment-effects/,submission_00/source_pdfs/Bahar_Wright_2026_Brookings_Data_Center_Employment_Effects.html,True
t1_018,ev_0054,Data centre,data_centre,construction,causal_local_economy_effect,11,% growth in construction employment in counties with data center entry,total local (sector-specific),realised (causal inference),United States (colocation / entry counties),New evidence on data center employment effects (dc_bahar_wright_brookings_2026),,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: total local (sector-specific) | Basis: realised (causal inference) | New evidence paper; construction +11%, info sector +22%. Supports short-term construction stimulus + longer info sector growth.",https://www.brookings.edu/articles/new-evidence-on-data-center-employment-effects/,submission_00/source_pdfs/Bahar_Wright_2026_Brookings_Data_Center_Employment_Effects.html,True
t1_019,ev_0055,Data centre,data_centre,lifecycle_or_economy,policy_incentive_duration,20,"Tax-incentive duration example (Tesla Gigafactory), not data-centre construction duration",,observed / typical (project or policy context),United States (various states; specific projects noted in quote),Subsidizing the Cloud: U.S. State Incentives to Data Centers (dc_gargano_giacoletti_2025),2.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Basis: observed / typical (project or policy context) | Incentives paper; 20yr tax breaks example for Tesla Gigafactory (not pure DC but relevant for large facility incentives).,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5881105,submission_00/source_pdfs/Gargano_Giacoletti_2025_Subsidizing_Cloud.pdf,True
t1_020,ev_0057,Data centre,data_centre,operation,capacity_scale,232,Data centre capacity operational / under construction / planned in Sydney/NSW,N/A (capacity),current (2026 snapshot),Australia - NSW / Sydney,Submission to NSW inquiry into data centres (dc_nsw_skills_submission_2026),6.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: N/A (capacity) | Basis: current (2026 snapshot) | Under construction; skills demand for trades (electrical apprenticeships 4yr duration noted).,https://www.parliament.nsw.gov.au/lcdocs/submissions/95080/0118%20Future%20Skills%20Organisation%20and%20Powering%20Skills%20Organisation.pdf,submission_00/source_pdfs/NSW_2026_FSO_PSO_Data_Centres_Submission.pdf,True
t1_021,ev_0058,Data centre,data_centre,operation,capacity_scale,874,"Planned data-centre capacity in Sydney/NSW (MW), not investment",N/A (capacity),current (2026 snapshot),Australia - NSW / Sydney,Submission to NSW inquiry into data centres (dc_nsw_skills_submission_2026),6.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: N/A (capacity) | Basis: current (2026 snapshot) | Planned additional; total pipeline significant vs current operational.,https://www.parliament.nsw.gov.au/lcdocs/submissions/95080/0118%20Future%20Skills%20Organisation%20and%20Powering%20Skills%20Organisation.pdf,submission_00/source_pdfs/NSW_2026_FSO_PSO_Data_Centres_Submission.pdf,True
t1_022,ev_0059,Data centre,data_centre,operation,capacity_scale,733,Data centre capacity operational / under construction / planned in Sydney/NSW,N/A (capacity),current (2026 snapshot),Australia - NSW / Sydney,Submission to NSW inquiry into data centres (dc_nsw_skills_submission_2026),6.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: N/A (capacity) | Basis: current (2026 snapshot) | Operational capacity; 232 MW under construction, 874 MW planned. Important for AU scaling of job estimates.",https://www.parliament.nsw.gov.au/lcdocs/submissions/95080/0118%20Future%20Skills%20Organisation%20and%20Powering%20Skills%20Organisation.pdf,submission_00/source_pdfs/NSW_2026_FSO_PSO_Data_Centres_Submission.pdf,True
t1_023,ev_0072,Data centre,data_centre,operation,capacity_scale,33,Capacity or % effect per source context,,,Per source geography,Subsidizing the Cloud: U.S. State Incentives to Data Centers (dc_gargano_giacoletti_2025),25.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Reviewed from context_quote only; cross-check original PDF for full context and any caveats.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5881105,submission_00/source_pdfs/Gargano_Giacoletti_2025_Subsidizing_Cloud.pdf,True
t1_024,ev_0084,Data centre,data_centre,construction,capacity_scale,372.2,Capacity or % effect per source context,,,Per source geography,Global Data Center Trends (dc_cb_re_2024),,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Reviewed from context_quote only; cross-check original PDF for full context and any caveats.,https://www.cbre.com/insights/reports/global-data-center-trends-2024,submission_00/source_pdfs/CBRE_2024_Global_Data_Center_Trends.pdf,True
t1_025,ev_0085,Comparator asset,energy_or_utility; public_infrastructure_or_methods,unspecified,jobs_per_investment,"7.49 (renewables), 7.72 (energy efficiency), 2.65 (fossil fuels) FTE jobs per $1 million spending",Total employment multiplier (direct + indirect + induced) from US input-output model: full-time equivalent jobs supported per $1 million of final demand/spending in each sector. Derived from 2006-2010 IMPLAN data and sector-specific vectors.,total (direct + indirect + induced),projected (I-O model; based on historical economic structure),,"Green versus brown: Comparing the employment impacts of energy efficiency, renewable energy, and fossil fuels using an input-output model (cmp_src_0002)",page 2,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: total (direct + indirect + induced) | Basis: projected (I-O model; based on historical economic structure) | ACCEPT (core comparator). High-quality, widely cited study on green vs brown job creation per dollar invested. Explicit on page 2. Key insight: EE and RE generate ~3x more jobs...",https://doi.org/10.1016/j.econmod.2016.11.012,submission_00/source_pdfs/cmp_src_0002_Green_versus_brown_Comparing_the_employment_impacts_of.pdf,True
t1_026,ev_0086,Comparator asset,energy_or_utility; public_infrastructure_or_methods,construction,investment_scale,"~7,490 jobs created in RE and related industries (4,500 direct + 2,990 indirect) from $1B reallocation; net economy-wide gain of ~4,840 jobs after fossil fuel sector contraction of 2,650 jobs (940 direct + 1,710 indirect)",Net employment effect (I-O simulation) of shifting $1 billion from fossil fuel subsidies to public procurement/spending on renewable energy (e.g. government buildings). Captures job gains in RE supply chain minus losses in fossil fuel industries.,total (direct + indirect); net of cross-sector losses,projected (policy counterfactual simulation),,"Green versus brown: Comparing the employment impacts of energy efficiency, renewable energy, and fossil fuels using an input-output model (cmp_src_0002)",page 8,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: total (direct + indirect); net of cross-sector losses | Basis: projected (policy counterfactual simulation) | ACCEPT (illustrative policy example). Page 8. Complements the per-$1M multipliers by showing net macro effect of reallocation (not just gross). Demonstrates that green investmen...,https://doi.org/10.1016/j.econmod.2016.11.012,submission_00/source_pdfs/cmp_src_0002_Green_versus_brown_Comparing_the_employment_impacts_of.pdf,True
t1_027,ev_0088,Comparator asset,energy_or_utility; public_infrastructure_or_methods,construction,jobs_per_investment,4.74 total jobs per $1 million demand for 'computer and electronic equipment' (supply-chain component within wind industry vector); contrast with Construction at 8.21 (highest among wind constituent industries),Sector-specific total employment multiplier (direct + indirect + induced) for key input industries in a synthetic wind energy final demand vector. Illustrates variation: high-labor-intensity sectors (construction) vs lower (electronics).,total (direct + indirect + induced); construction example highest at 8.21,projected (I-O model; embedded in wind sector aggregation),,"Green versus brown: Comparing the employment impacts of energy efficiency, renewable energy, and fossil fuels using an input-output model (cmp_src_0002)",page 7,partial_accept,supporting_with_caveats,Use with caveats in notes,Scope: total (direct + indirect + induced); construction example highest at 8.21 | Basis: projected (I-O model; embedded in wind sector aggregation) | PARTIAL ACCEPT (supply-chain disaggregation insight). Page 7. Valuable for showing why aggregated 'renewables' multipliers vary with technology mix and domestic content. Constru...,https://doi.org/10.1016/j.econmod.2016.11.012,submission_00/source_pdfs/cmp_src_0002_Green_versus_brown_Comparing_the_employment_impacts_of.pdf,True
t1_028,ev_0089,Comparator asset,energy_or_utility; public_infrastructure_or_methods,unspecified,jobs_per_investment,4.74 jobs per $1M for computer/electronics in wind supply chain (same as 0012); jobs_per_capex framing,Employment intensity (jobs supported per dollar of capital expenditure/final demand) for specific industry supplying wind sector.,direct + indirect + induced,projected,,"Green versus brown: Comparing the employment impacts of energy efficiency, renewable energy, and fossil fuels using an input-output model (cmp_src_0002)",page 7,partial_accept,supporting_with_caveats,Use with caveats in notes,Scope: direct + indirect + induced | Basis: projected | PARTIAL ACCEPT / duplicate framing of 0012. Same underlying multiplier. 'jobs_per_capex' label is interpretive; underlying data is I-O multiplier per $1M demand. Useful cross-ch...,https://doi.org/10.1016/j.econmod.2016.11.012,submission_00/source_pdfs/cmp_src_0002_Green_versus_brown_Comparing_the_employment_impacts_of.pdf,True
t1_029,ev_0090,Comparator asset,energy_or_utility; public_infrastructure_or_methods,construction,construction_or_lifecycle_job_years,"5,600 MW geothermal capacity addition could generate nearly 10,000 jobs and approximately 36,000 person-years of construction and manufacturing employment (WGA 2006 data cited)",Gross employment impact (construction + manufacturing phases) associated with large-scale geothermal power deployment scenario in the Western US. Includes direct project jobs and supply-chain effects per source study.,total (direct construction/manufacturing + indirect/induced per WGA study),projected (scenario; based on WGA 2006 geothermal data),,Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US? (cmp_src_0003),page 13,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: total (direct construction/manufacturing + indirect/induced per WGA study) | Basis: projected (scenario; based on WGA 2006 geothermal data) | ACCEPT (benchmark classic). Page 13. One of the most cited geothermal jobs figures in literature. Part of broader meta-review synthesizing multiple technologies/studies. Useful...,https://doi.org/10.1016/j.enpol.2009.10.044,submission_00/source_pdfs/cmp_src_0003_Putting_renewables_and_energy_efficiency_to_work_How_ma.pdf,True
t1_030,ev_0091,Comparator asset,energy_or_utility; public_infrastructure_or_methods,construction,job_years_per_gwh,"0.15 job-years per GWh (conservative lower-bound placeholder for technologies with sparse primary data, e.g. municipal solid waste / biomass in some analyses)","Normalized job creation intensity: person-years of employment (direct + indirect) per gigawatt-hour of energy produced or saved, averaged over the full operating lifetime of the asset. Used as conservative floor when meta-analysis data is limited.",mixed (varies by original studies synthesized; majority induced in EE context per paper),projected (literature synthesis + conservative assumption for data gaps),,Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US? (cmp_src_0003),page 5,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: mixed (varies by original studies synthesized; majority induced in EE context per paper) | Basis: projected (literature synthesis + conservative assumption for data gaps) | ACCEPT (transparent bounding assumption). Page 5. Important methodological note in meta-analysis: authors adopted 0.15 as lower-range conservative for under-studied techs. Contr...,https://doi.org/10.1016/j.enpol.2009.10.044,submission_00/source_pdfs/cmp_src_0003_Putting_renewables_and_energy_efficiency_to_work_How_ma.pdf,True
t1_031,ev_0092,Comparator asset,energy_or_utility; public_infrastructure_or_methods,construction,job_years_per_gwh,0.16 job-years/GWh (one of three fossil-with-CCS options averaged; range 0.17 / 0.22 / 0.16 across IGCC/CCS configurations),"Lifetime job-years per GWh for fossil fuel generation with carbon capture and storage (CCS), normalized from construction + O&M phases. Part of comparison to renewables and efficiency.",direct + indirect + induced (averaged/normalized),projected (synthesis of limited CCS studies),,Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US? (cmp_src_0003),page 5,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: direct + indirect + induced (averaged/normalized) | Basis: projected (synthesis of limited CCS studies) | ACCEPT (comparative context). Page 5. Shows CCS job intensity is modest and comparable to some renewables in normalized terms. Useful for 'all-of-above' or transition scenarios...,https://doi.org/10.1016/j.enpol.2009.10.044,submission_00/source_pdfs/cmp_src_0003_Putting_renewables_and_energy_efficiency_to_work_How_ma.pdf,True
t1_032,ev_0094,Comparator asset,energy_or_utility; public_infrastructure_or_methods,construction,jobs_per_mw,"10 job-years (manyears) per MW of annual wind turbine installation (manufacturing, component manufacturing, development, installation + indirect); O&M contributes additional 0.4 jobs per MW of total installed capacity (EWEA 2009 cited)",Employment intensity for wind sector: job-years during installation/construction phase per MW installed annually; plus sustained O&M jobs per MW of cumulative operating capacity. From European Wind Energy Association study synthesized in meta-analysis.,total (direct project + supply chain + indirect),projected (scenario-based on EWEA assumptions; increasing offshore share noted),,Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US? (cmp_src_0003),page 11,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: total (direct project + supply chain + indirect) | Basis: projected (scenario-based on EWEA assumptions; increasing offshore share noted) | ACCEPT (cited benchmark). Page 11 / Table A1. Classic wind jobs figure (10 jobs/MW install + 0.4 O&M). Useful for peak construction vs operational phase distinction. Note contex...,https://doi.org/10.1016/j.enpol.2009.10.044,submission_00/source_pdfs/cmp_src_0003_Putting_renewables_and_energy_efficiency_to_work_How_ma.pdf,True
t1_033,ev_0095,Comparator asset,energy_or_utility; public_infrastructure_or_methods,construction,jobs_per_mw,0.4 O&M jobs per MW of total installed wind capacity (additional to installation-phase jobs),"Long-term operational employment intensity for wind farms: full-time equivalent jobs in operations, maintenance, and related activities per megawatt of cumulative installed capacity.",direct + indirect (O&M focused),projected,,Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US? (cmp_src_0003),page 11,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: direct + indirect (O&M focused) | Basis: projected | ACCEPT (O&M phase metric). Complements 0019 installation intensity. Important for lifecycle view: construction creates short-term peak jobs; O&M provides sustained employment. P...,https://doi.org/10.1016/j.enpol.2009.10.044,submission_00/source_pdfs/cmp_src_0003_Putting_renewables_and_energy_efficiency_to_work_How_ma.pdf,True
t1_034,ev_0096,Comparator asset,energy_or_utility; public_infrastructure_or_methods,operation,job_years_per_gwh,0.16 job-years/GWh (averaged result for one fossil+CCS configuration; see also 0.17 and 0.22 for other options),See cmp_metric_0016 (normalized lifetime employment intensity for CCS-equipped generation).,direct + indirect + induced,projected,,Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US? (cmp_src_0003),page 5,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: direct + indirect + induced | Basis: projected | ACCEPT / duplicate framing of 0016. Page 5. Same underlying synthesis. Use to illustrate modest job creation from abated fossil pathways vs efficiency/renewables in meta-analysis.,https://doi.org/10.1016/j.enpol.2009.10.044,submission_00/source_pdfs/cmp_src_0003_Putting_renewables_and_energy_efficiency_to_work_How_ma.pdf,True
t1_035,ev_0107,Data centre,data_centre,construction,jobs_per_investment,0.5 peak construction workers per $1 million total project investment (interval 0.2 to 0.7 across two independent derivation routes),"DERIVED (notebook 09): data-centre peak construction employment per dollar of total project investment, from Hamm Institute (2025) Appendix A1 facility-level figures (Meta Richland Parish direct route; MW-bridge cross-check)",direct,realised (announced project figures),"United States (LA, IN, AL project examples)",Data Center Employment Forecast Analysis (dc_hamm_2025),"Appendix A1, printed p.8 (PDF p.9); verified 2026-07-03",accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: direct | Basis: realised (announced project figures) | DERIVED metric - not stated in source; computed in notebook 09 (two agreeing routes). Denominator = TOTAL investment incl. IT/equipment, NOT construction-only capex (constructio...",https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,True
t1_036,ev_0108,Data centre,data_centre,operation,jobs_per_investment,"0.1 permanent operations jobs per $1 million total project investment (interval 0.05 to 0.17, n=3 facilities)","DERIVED (notebook 09): data-centre permanent operations employment per dollar of total project investment, from Hamm Institute (2025) Appendix A1 facility-level figures (Meta Richland Parish, Meta Montgomery, Google Jackson County)",direct,realised (announced project figures),"United States (LA, IN, AL project examples)",Data Center Employment Forecast Analysis (dc_hamm_2025),"Appendix A1, printed p.8-9 (PDF p.9-10); verified 2026-07-03",accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: direct | Basis: realised (announced project figures) | DERIVED metric - not stated in source; computed in notebook 09. Google row is an upper bound (announced full-time jobs may exceed core O&M). Denominator = TOTAL investment. Page...,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,True
t1_037,ev_0109,Comparator asset,advanced_manufacturing_battery,construction,construction_jobs_headcount,"3,500-4,000 peak construction workers (single battery gigafactory campus)",Peak construction manpower for BlueOval SK Kentucky Battery Park (EV battery gigafactory),direct,projected,,U.S. DOE (2023) Environmental Assessment DOE/EA-2201 - BlueOval SK Kentucky Battery Park (cmp_src_0101),"DOE EA DOE/EA-2201, p.17 (Kentucky Battery Park)",accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: direct | Basis: projected | RA-verified 2026-07-03 (ra_0019; gap-search WP). Government/audit source. Facility-level absolute peak benchmark; comparable to DC campus peak headcounts.,https://www.energy.gov,,True
